;;;;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2; Kupon Nr 2 ;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3; Kupon Nr 3 ;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4; Kupon Nr 4 ;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5; Kupon Nr 5 ;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6; Kupon Nr 6 ;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7; Kupon Nr 7 ;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8; Kupon Nr 8 ;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9; Kupon Nr 9 ;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10; Kupon Nr 10 ;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12; Kupon Nr 12 ;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14; Kupon Nr 14 ;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15; Kupon Nr 15 ;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16; Kupon Nr 16 ;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17; Kupon Nr 17 ;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18; Kupon Nr 18 ;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19; Kupon Nr 19 ;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20; Kupon Nr 20 ;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21; Kupon Nr 21 ;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22; Kupon Nr 22 ;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23; Kupon Nr 23 ;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24; Kupon Nr 24 ;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25; Kupon Nr 25 ;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26; Kupon Nr 26 ;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27; Kupon Nr 27 ;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28; Kupon Nr 28 ;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29; Kupon Nr 29 ;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30; Kupon Nr 30 
PS0507;PL0000102679;2007-05-12;8,50%;2002-05-12;2003-05-12;2003-05-07;2003-05-12;85,00;2003-05-12;2004-05-12;2004-05-07;2004-05-12; 85,00    ;2004-05-12;2005-05-12;2005-05-09;2005-05-12; 85,00    ;2005-05-12;2006-05-12;2006-05-09;2006-05-12; 85,00    ;2006-05-12;2007-05-12;2007-05-09;2007-05-14; 85,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0607;PL0000102703;2007-06-03;8,00%;2002-06-03;2003-06-03;2003-05-16;2003-06-03;8,00;2003-06-03;2004-06-03;2004-05-18;2004-06-03; 8,00    ;2004-06-03;2005-06-03;2005-05-18;2005-06-03; 8,00    ;2005-06-03;2006-06-03;2006-05-18;2006-06-03; 8,00    ;2006-06-03;2007-06-03;2007-05-18;2007-06-03; 8,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0907;PL0000102794;2007-09-02;6,50%;2002-09-02;2003-09-02;2003-08-14;2003-09-02;6,50;2003-09-02;2004-09-02;2004-08-17;2004-09-02; 6,50    ;2004-09-02;2005-09-02;2005-08-17;2005-09-02; 6,50    ;2005-09-02;2006-09-02;2006-08-17;2006-09-02; 6,50    ;2006-09-02;2007-09-02;2007-08-17;2007-09-02; 6,50    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP1207;PL0000102901;2007-12-02;5,50%;2002-12-02;2003-12-02;2003-11-20;2003-12-02;5,50;2003-12-02;2004-12-02;2004-11-19;2004-12-02; 5,50    ;2004-12-02;2005-12-02;2005-11-18;2005-12-02; 5,50    ;2005-12-02;2006-12-02;2006-11-20;2006-12-02; 5,50    ;2006-12-02;2007-12-02;2007-11-20;2007-12-02; 5,50    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0308;PL0000102984;2008-03-03;5,00%;2003-03-03;2004-03-03;2004-02-18;2004-03-03;5,00;2004-03-03;2005-03-03;2005-02-18;2005-03-03; 5,00    ;2005-03-03;2006-03-03;2006-02-17;2006-03-03; 5,00    ;2006-03-03;2007-03-03;2007-02-16;2007-03-03; 5,00    ;2007-03-03;2008-03-03;2008-02-18;2008-03-03; 5,00    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0608;PL0000102869;2008-06-24;5,75%;2002-06-24;2003-06-24;2003-06-18;2003-06-24;57,50;2003-06-24;2004-06-24;2004-06-21;2004-06-24; 57,50    ;2004-06-24;2005-06-24;2005-06-21;2005-06-24; 57,50    ;2005-06-24;2006-06-24;2006-06-21;2006-06-26; 57,50    ;2006-06-24;2007-06-24;2007-06-20;2007-06-25; 57,50    ;2007-06-24;2008-06-24;2008-06-19;2008-06-24;57,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0608;PL0000103073;2008-06-02;4,50%;2003-06-02;2004-06-02;2004-05-18;2004-06-02;4,50;2004-06-02;2005-06-02;2005-05-18;2005-06-02; 4,50    ;2005-06-02;2006-06-02;2006-05-18;2006-06-02; 4,50    ;2006-06-02;2007-06-02;2007-05-18;2007-06-02; 4,50    ;2007-06-02;2008-06-02;2008-05-16;2008-06-02; 4,50    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0908;PL0000103164;2008-09-01;4,50%;2003-09-01;2004-09-01;2004-08-25;2004-09-01;4,50;2004-09-01;2005-09-01;2005-08-25;2005-09-01; 4,50    ;2005-09-01;2006-09-01;2006-08-25;2006-09-01; 4,50    ;2006-09-01;2007-09-01;2007-08-27;2007-09-01; 4,50    ;2007-09-01;2008-09-01;2008-08-25;2008-09-01; 4,50    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP1208;PL0000103255;2008-12-01;6,50%;2003-12-01;2004-12-01;2004-11-24;2004-12-01;6,50;2004-12-01;2005-12-01;2005-11-24;2005-12-01; 6,50    ;2005-12-01;2006-12-01;2006-11-24;2006-12-01; 6,50    ;2006-12-01;2007-12-01;2007-11-26;2007-12-01; 6,50    ;2007-12-01;2008-12-01;2008-11-24;2008-12-01; 6,50    ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0309;PL0000103362;2009-03-01;6,50%;2004-03-01;2005-03-01;2005-02-22;2005-03-01;6,50;2005-03-01;2006-03-01;2006-02-22;2006-03-01; 6,50    ;2006-03-01;2007-03-01;2007-02-22;2007-03-01; 6,50    ;2007-03-01;2008-03-01;2008-02-25;2008-03-01; 6,50    ;2008-03-01;2009-03-01;2009-02-23;2009-03-01; 6,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0609;PL0000103461;2009-06-01;7,00%;2004-06-01;2005-06-01;2005-05-24;2005-06-01;7,00;2005-06-01;2006-06-01;2006-05-25;2006-06-01; 7,00    ;2006-06-01;2007-06-01;2007-05-25;2007-06-01; 7,00    ;2007-06-01;2008-06-01;2008-05-26;2008-06-01; 7,00    ;2008-06-01;2009-06-01;2009-05-25;2009-06-01; 7,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0310;PL0000103735;2010-03-24;5,75%;2004-03-24;2005-03-24;2005-03-21;2005-03-24;57,50;2005-03-24;2006-03-24;2006-03-21;2006-03-24; 57,50    ;2006-03-24;2007-03-24;2007-03-21;2007-03-26; 57,50    ;2007-03-24;2008-03-24;2008-03-19;2008-03-24; 57,50    ;2008-03-24;2009-03-24;2009-03-19;2009-03-24; 57,50    ;2009-03-24;2010-03-24;2010-03-19;2010-03-24; 57,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0909;PL0000103545;2009-09-01;7,30%;2004-09-01;2005-09-01;2005-08-25;2005-09-01;7,30;2005-09-01;2006-09-01;2006-08-25;2006-09-01; 7,30    ;2006-09-01;2007-09-01;2007-08-27;2007-09-01; 7,30    ;2007-09-01;2008-09-01;2008-08-25;2008-09-01; 7,30    ;2008-09-01;2009-09-01;2009-08-25;2009-09-01; 7,30    ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP1209;PL0000103677;2009-12-01;6,50%;2004-12-01;2005-12-01;2005-11-24;2005-12-01;6,50;2005-12-01;2006-12-01;2006-11-24;2006-12-01; 6,50    ;2006-12-01;2007-12-01;2007-11-26;2007-12-01; 6,50    ;2007-12-01;2008-12-01;2008-11-24;2008-12-01; 6,50    ;2008-12-01;2009-12-01;2009-11-24;2009-12-01; 6,50    ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0310;PL0000103792;2010-03-01;5,50%;2005-03-01;2006-03-01;2006-02-22;2006-03-01;5,50;2006-03-01;2007-03-01;2007-02-22;2007-03-01; 5,50    ;2007-03-01;2008-03-01;2008-02-25;2008-03-01; 5,50    ;2008-03-01;2009-03-01;2009-02-23;2009-03-01; 5,50    ;2009-03-01;2010-03-01;2010-02-22;2010-03-01; 5,50    ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0610;PL0000103933;2010-06-01;5,00%;2005-06-01;2006-06-01;2006-05-25;2006-06-01;5,00;2006-06-01;2007-06-01;2007-05-25;2007-06-01; 5,00    ;2007-06-01;2008-06-01;2008-05-26;2008-06-01; 5,00    ;2008-06-01;2009-06-01;2009-05-25;2009-06-01; 5,00    ;2009-06-01;2010-06-01;2010-05-25;2010-06-01; 5,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP0910;PL0000104055;2010-09-01;4,40%;2005-09-01;2006-09-01;2006-08-25;2006-09-01;4,40;2006-09-01;2007-09-01;2007-08-24;2007-09-01; 4,40    ;2007-09-01;2008-09-01;2008-08-22;2008-09-01; 4,40    ;2008-09-01;2009-09-01;2009-08-24;2009-09-01; 4,40    ;2009-09-01;2010-09-01;2010-08-24;2010-09-01; 4,40    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SP1210;PL0000104162;2010-12-01;4,50%;2005-12-01;2006-12-01;2006-11-23;2006-12-01;4,50;2006-12-01;2007-12-01;2007-11-23;2007-12-01; 4,50    ;2007-12-01;2008-12-01;2008-11-21;2008-12-01; 4,50    ;2008-12-01;2009-12-01;2009-11-23;2009-12-01; 4,50    ;2009-12-01;2010-12-01;2010-11-23;2010-12-01; 4,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0511;PL0000104287;2011-05-24;4,25%;2005-05-24;2006-05-24;2006-05-19;2006-05-24;42,50;2006-05-24;2007-05-24;2007-05-21;2007-05-24; 42,50    ;2007-05-24;2008-05-24;2008-05-20;2008-05-26; 42,50    ;2008-05-24;2009-05-24;2009-05-20;2009-05-25; 42,50    ;2009-05-24;2010-05-24;2010-05-19;2010-05-24; 42,50    ;2010-05-24;2011-05-24;2011-05-19;2011-05-24; 42,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0412;PL0000104659;2012-04-25;4,75%;2006-04-25;2007-04-25;2007-04-20;2007-04-25;47,50;2007-04-25;2008-04-25;2008-04-22;2008-04-25; 47,50    ;2008-04-25;2009-04-25;2009-04-22;2009-04-27; 47,50    ;2009-04-25;2010-04-25;2010-04-21;2010-04-26; 47,50    ;2010-04-25;2011-04-25;2011-04-20;2011-04-26; 47,50    ;2011-04-25;2012-04-25;2012-04-20;2012-04-25; 47,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0413;PL0000105037;2013-04-25;5,25%;2007-04-25;2008-04-25;2008-04-22;2008-04-25;52,50;2008-04-25;2009-04-25;2009-04-22;2009-04-27; 52,50    ;2009-04-25;2010-04-25;2010-04-21;2010-04-26; 52,50    ;2010-04-25;2011-04-25;2011-04-20;2011-04-26; 52,50    ;2011-04-25;2012-04-25;2012-04-20;2012-04-25; 52,50    ;2012-04-25;2013-04-25;2013-04-22;2013-04-25; 52,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0414;PL0000105433;2014-04-25;5,75%;2008-04-25;2009-04-25;2009-04-22;2009-04-27;57,50;2009-04-25;2010-04-25;2010-04-21;2010-04-26; 57,50    ;2010-04-25;2011-04-25;2011-04-20;2011-04-26; 57,50    ;2011-04-25;2012-04-25;2012-04-20;2012-04-25; 57,50    ;2012-04-25;2013-04-25;2013-04-22;2013-04-25; 57,50    ;2013-04-25;2014-04-25;2014-04-22;2014-04-25; 57,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0415;PL0000105953;2015-04-25;5,50%;2009-04-25;2010-04-25;2010-04-22;2010-04-26;55,00;2010-04-25;2011-04-25;2011-04-21;2011-04-26; 55,00    ;2011-04-25;2012-04-25;2012-04-23;2012-04-25; 55,00    ;2012-04-25;2013-04-25;2013-04-23;2013-04-25; 55,00    ;2013-04-25;2014-04-25;2014-04-23;2014-04-25; 55,00    ;2014-04-25;2015-04-25;2015-04-23;2015-04-27; 55,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0416;PL0000106340;2016-04-25;5,00%;2010-04-25;2011-04-25;2011-04-21;2011-04-26;50,00;2011-04-25;2012-04-25;2012-04-23;2012-04-25; 50,00    ;2012-04-25;2013-04-25;2013-04-23;2013-04-25; 50,00    ;2013-04-25;2014-04-25;2014-04-23;2014-04-25; 50,00    ;2014-04-25;2015-04-25;2015-04-23;2015-04-27; 50,00    ;2015-04-25;2016-04-25;2016-04-21;2016-04-25; 50,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS1016;PL0000106795;2016-10-25;4,75%;2011-10-25;2012-10-25;2012-10-23;2012-10-25;47,50;2012-10-25;2013-10-25;2013-10-23;2013-10-25; 47,50    ;2013-10-25;2014-10-25;2014-10-23;2014-10-27; 47,50    ;2014-10-25;2015-10-25;2015-10-22;2015-10-26; 47,50    ;2015-10-25;2016-10-25;2016-10-21;2016-10-25; 47,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0417;PL0000107058;2017-04-25;4,75%;2012-04-25;2013-04-25;2013-04-23;2013-04-25;47,50;2013-04-25;2014-04-25;2014-04-23;2014-04-25; 47,50    ;2014-04-25;2015-04-25;2015-04-23;2015-04-27; 47,50    ;2015-04-25;2016-04-25;2016-04-21;2016-04-25; 47,50    ;2016-04-25;2017-04-25;2017-04-21;2017-04-25; 47,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0418;PL0000107314;2018-04-25;3,75%;2012-04-25;2013-04-25;2013-04-23;2013-04-25;37,50;2013-04-25;2014-04-25;2014-04-23;2014-04-25; 37,50    ;2014-04-25;2015-04-25;2015-04-23;2015-04-27; 37,50    ;2015-04-25;2016-04-25;2016-04-21;2016-04-25; 37,50    ;2016-04-25;2017-04-25;2017-04-21;2017-04-25; 37,50    ;2017-04-25;2018-04-25;2018-04-23;2018-04-25; 37,50    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS0718;PL0000107595;2018-07-25;2,50%;2012-07-25;2013-07-25;2013-07-23;2013-07-25;25,00;2013-07-25;2014-07-25;2014-07-23;2014-07-25; 25,00    ;2014-07-25;2015-07-25;2015-07-23;2015-07-27; 25,00    ;2015-07-25;2016-07-25;2016-07-21;2016-07-25; 25,00    ;2016-07-25;2017-07-25;2017-07-21;2017-07-25; 25,00    ;2017-07-25;2018-07-25;2018-07-23;2018-07-25; 25,00    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DS0509;PL0000101259;2009-05-24;6,00%;1999-05-24;2000-05-24;2000-05-12;2000-05-24;60,00;2000-05-24;2001-05-24;2001-05-14;2001-05-24; 60,00    ;2001-05-24;2002-05-24;2002-05-14;2002-05-24; 60,00    ;2002-05-24;2003-05-24;2003-05-14;2003-05-24; 60,00    ;2003-05-24;2004-05-24;2004-05-12;2004-05-24; 60,00    ;2004-05-24;2005-05-24;2005-05-12;2005-05-24; 60,00    ;2005-05-24;2006-05-24;2006-05-12;2006-05-24; 60,00    ;2006-05-24;2007-05-24;2007-05-14;2007-05-24; 60,00    ;2007-05-24;2008-05-24;2008-05-14;2008-05-24; 60,00    ;2008-05-24;2009-05-24;2009-05-13;2009-05-24; 60,00    ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
